,Player,Pos,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle
2343,Brandon Allen,QB,6-1,217,4.84,28.0,,110,7.06,4.33
2364,Trevone Boykin,QB,6-0,212,4.77,32.0,,110,,4.40
2368,Jacoby Brissett,QB,6-4,231,4.94,31.0,,113,7.17,4.53
2399,Connor Cook,QB,6-4,217,4.79,33.0,,113,7.21,4.28
2420,Brandon Doughty,QB,6-3,213,5.22,27.0,,103,7.49,4.52
2423,Jeff Driskel,QB,6-4,234,4.56,32.0,,122,7.19,4.25
2446,Jared Goff,QB,6-4,215,4.82,27.0,,110,7.17,4.47
2453,Christian Hackenberg,QB,6-4,223,4.78,31.0,,114,7.04,4.33
2468,Kevin Hogan,QB,6-3,218,4.78,32.5,,113,6.90,4.31
2491,Cardale Jones,QB,6-5,253,4.81,36.0,,,,
2505,Cody Kessler,QB,6-1,220,4.89,29.5,,104,7.32,4.00
2529,Paxton Lynch,QB,6-7,244,4.86,36.0,,118,7.14,4.26
2584,Dak Prescott,QB,6-2,226,4.79,32.5,,116,7.11,4.32
2627,Joel Stave,QB,6-5,236,4.80,33.5,,115,7.29,4.33
2629,Nate Sudfeld,QB,6-6,234,5.02,29.0,,105,,
2656,Carson Wentz,QB,6-5,237,4.77,30.5,,118,6.86,4.15
2666,Josh Woodrum,QB,6-3,231,4.80,31.0,,116,6.74,4.31
2689,C.J. Beathard,QB,6-2,219,,31.0,,113,,
2744,Joshua Dobbs,QB,6-3,216,4.64,33.0,,122,6.75,4.31
2758,Jerod Evans,QB,6-3,232,4.80,26.5,,112,,4.41
2833,Brad Kaaya,QB,6-4,214,,,,,,
2840,DeShone Kizer,QB,6-4,233,4.83,30.5,,107,7.40,4.53
2841,Trevor Knight,QB,6-1,219,4.54,35.5,,125,7.04,4.14
2855,Mitch Leidner,QB,6-3,226,4.93,34.5,,123,6.96,4.25
2859,Sefo Liufau,QB,6-3,232,5.08,27.0,,105,7.32,4.45
2864,Patrick Mahomes,QB,6-2,225,4.80,30.0,,114,6.88,4.08
2903,Nathan Peterman,QB,6-2,226,4.82,31.0,,110,7.14,4.31
2932,Cooper Rush,QB,6-3,228,4.93,27.0,,105,7.23,4.47
2933,Seth Russell,QB,6-3,213,,,,,,
2973,Mitchell Trubisky,QB,6-2,222,4.67,27.5,,116,6.87,4.25
2985,Deshaun Watson,QB,6-2,221,4.66,32.5,,119,6.95,4.31
2987,Davis Webb,QB,6-5,229,4.79,33.0,,118,6.92,4.21
3012,Austin Allen,QB,6-0,210,4.81,29.5,,112,7.18,4.48
3014,Josh Allen,QB,6-5,237,4.75,33.5,,119,6.90,4.40
3028,J.T. Barrett,QB,6-1,224,4.70,30.0,,108,7.38,4.44
3033,Kurt Benkert,QB,6-3,218,4.95,31.0,16,112,7.15,4.33
3076,Sam Darnold,QB,6-3,221,4.85,26.5,,105,6.96,4.40
3095,Danny Etling,QB,6-2,222,4.76,30.5,,114,7.09,4.37
3098,Luke Falk,QB,6-4,215,,26.5,,103,,
3101,Riley Ferguson,QB,6-3,212,4.98,29.0,,110,6.96,4.40
3104,Quinton Flowers,QB,5-10,214,4.63,,,112,6.81,4.57
3159,Lamar Jackson,QB,6-2,216,,,,,,
3187,Kyle Lauletta,QB,6-3,222,4.81,31.0,,113,6.95,4.07
3189,Tanner Lee,QB,6-4,218,4.98,32.0,,115,7.00,4.41
3193,Chase Litton,QB,6-5,230,4.90,29.5,,106,7.49,4.53
3201,Baker Mayfield,QB,6-1,215,4.84,29.0,,111,7.00,4.28
3261,Josh Rosen,QB,6-4,226,4.92,31.0,,111,7.09,4.28
3263,Mason Rudolph,QB,6-5,235,4.90,26.0,,,,
3277,Nic Shimonek,QB,6-3,220,4.88,28.5,,101,7.28,4.32
3329,Mike White,QB,6-5,224,5.09,27.0,,96,7.40,4.40
3342,Logan Woodside,QB,6-1,213,4.79,31.5,,103,6.94,4.15
